w_flavour,w_nutrition,w_macro,w_cooccurrence,MRR,H@5,H@10
0.05,0.75,0.2,0.0,0.3412,0.5263,0.7895
0.05,0.6,0.35,0.0,0.3155,0.4737,0.7895
0.05,0.65,0.3,0.0,0.3155,0.4737,0.7895
0.15,0.35,0.5,0.0,0.3145,0.4211,0.7895
0.05,0.7,0.25,0.0,0.314,0.4211,0.7895
0.0,0.05,0.85,0.1,0.3138,0.4737,0.5789
0.0,0.05,0.9,0.05,0.3138,0.4737,0.5789
0.0,0.15,0.75,0.1,0.3136,0.5263,0.6316
0.2,0.65,0.15,0.0,0.3127,0.4737,0.7368
0.05,0.8,0.15,0.0,0.3124,0.5263,0.7895
0.0,0.1,0.8,0.1,0.3124,0.5263,0.6316
0.0,0.1,0.85,0.05,0.3124,0.5263,0.6316
0.1,0.5,0.4,0.0,0.3114,0.4211,0.7895
0.1,0.55,0.35,0.0,0.3114,0.4211,0.7895
0.15,0.65,0.15,0.05,0.3107,0.4737,0.7895
0.0,0.2,0.7,0.1,0.3105,0.5263,0.6316
0.0,0.2,0.75,0.05,0.3105,0.5263,0.6316
0.1,0.75,0.15,0.0,0.31,0.4737,0.7895
0.0,0.15,0.8,0.05,0.3092,0.5263,0.6316
0.0,0.55,0.4,0.05,0.3092,0.4211,0.7368
0.0,0.6,0.35,0.05,0.3092,0.4211,0.7368
0.0,0.65,0.3,0.05,0.3092,0.4211,0.7368
0.15,0.7,0.15,0.0,0.3085,0.4737,0.7895
0.15,0.75,0.1,0.0,0.3083,0.4211,0.7368
0.0,0.25,0.7,0.05,0.308,0.4737,0.6842
0.15,0.6,0.15,0.1,0.3078,0.4737,0.7895
0.1,0.8,0.1,0.0,0.3068,0.4737,0.7895
0.2,0.7,0.1,0.0,0.3068,0.4211,0.6842
0.05,0.85,0.1,0.0,0.3067,0.4737,0.7895
0.15,0.7,0.1,0.05,0.3065,0.4211,0.6842
0.0,0.4,0.55,0.05,0.3061,0.4211,0.6842
0.0,0.45,0.5,0.05,0.3061,0.4211,0.6842
0.0,0.5,0.45,0.05,0.3061,0.4211,0.6842
0.15,0.65,0.1,0.1,0.3058,0.4211,0.6842
0.2,0.6,0.15,0.05,0.3057,0.4737,0.7368
0.0,0.25,0.65,0.1,0.3053,0.4737,0.6842
0.05,0.65,0.15,0.15,0.305,0.4737,0.7895
0.05,0.75,0.15,0.05,0.305,0.4737,0.7895
0.05,0.7,0.15,0.1,0.3048,0.4737,0.7895
0.15,0.6,0.1,0.15,0.3048,0.4211,0.6842
0.05,0.75,0.1,0.1,0.3038,0.4737,0.7895
0.2,0.55,0.15,0.1,0.3036,0.4211,0.7368
0.0,0.35,0.6,0.05,0.3031,0.4211,0.6842
0.1,0.35,0.05,0.5,0.303,0.4211,0.6316
0.0,0.3,0.6,0.1,0.3028,0.4211,0.6842
0.0,0.3,0.65,0.05,0.3028,0.4211,0.6842
0.1,0.7,0.15,0.05,0.3027,0.4737,0.7895
0.05,0.8,0.1,0.05,0.3021,0.4737,0.7895
0.15,0.8,0.05,0.0,0.3019,0.4211,0.6316
0.15,0.7,0.05,0.1,0.3018,0.4211,0.6316
0.15,0.75,0.05,0.05,0.3018,0.4211,0.6316
0.15,0.5,0.05,0.3,0.3017,0.4211,0.6316
0.15,0.55,0.05,0.25,0.3017,0.4211,0.6316
0.15,0.6,0.05,0.2,0.3017,0.4211,0.6316
0.15,0.65,0.05,0.15,0.3017,0.4211,0.6316
0.15,0.45,0.05,0.35,0.3016,0.4211,0.6316
0.1,0.4,0.1,0.4,0.3015,0.4211,0.6842
0.1,0.45,0.1,0.35,0.3015,0.4211,0.6842
0.2,0.6,0.05,0.15,0.3015,0.4211,0.6316
0.2,0.65,0.05,0.1,0.3015,0.4211,0.6316
0.2,0.7,0.05,0.05,0.3015,0.4211,0.6316
0.2,0.75,0.05,0.0,0.3015,0.4211,0.6316
0.2,0.55,0.05,0.2,0.3014,0.4211,0.6316
0.25,0.7,0.05,0.0,0.3014,0.4211,0.6316
0.15,0.5,0.0,0.35,0.3011,0.4211,0.6316
0.15,0.45,0.0,0.4,0.301,0.4211,0.6316
0.15,0.55,0.0,0.3,0.301,0.4211,0.6316
0.15,0.6,0.0,0.25,0.301,0.4211,0.6316
0.15,0.65,0.0,0.2,0.301,0.4211,0.6316
0.15,0.7,0.0,0.15,0.301,0.4211,0.6316
0.2,0.6,0.0,0.2,0.301,0.4211,0.6316
0.2,0.65,0.0,0.15,0.301,0.4211,0.6316
0.2,0.7,0.0,0.1,0.3009,0.4211,0.6316
0.2,0.75,0.0,0.05,0.3009,0.4211,0.6316
0.2,0.8,0.0,0.0,0.3009,0.4211,0.6316
0.25,0.75,0.0,0.0,0.3009,0.4211,0.6316
0.1,0.5,0.0,0.4,0.3007,0.4211,0.6316
0.1,0.3,0.0,0.6,0.3006,0.4211,0.6316
0.1,0.35,0.0,0.55,0.3006,0.4211,0.6316
0.1,0.4,0.0,0.5,0.3006,0.4211,0.6316
0.1,0.45,0.0,0.45,0.3005,0.4211,0.6316
0.05,0.25,0.05,0.65,0.3004,0.4211,0.6316
0.05,0.15,0.0,0.8,0.3003,0.4211,0.6316
0.05,0.2,0.0,0.75,0.3002,0.4211,0.6316
0.05,0.25,0.0,0.7,0.3002,0.4211,0.6316
0.05,0.7,0.1,0.15,0.2999,0.4737,0.7895
0.1,0.75,0.1,0.05,0.2999,0.4737,0.7895
0.1,0.65,0.15,0.1,0.2998,0.4737,0.7895
0.1,0.35,0.35,0.2,0.2996,0.3684,0.7895
0.1,0.45,0.4,0.05,0.2996,0.3684,0.7895
0.1,0.5,0.35,0.05,0.2996,0.3684,0.7895
0.05,0.9,0.05,0.0,0.2995,0.4211,0.7895
0.1,0.3,0.35,0.25,0.2994,0.3684,0.7895
0.05,0.55,0.35,0.05,0.2993,0.3684,0.7895
0.05,0.6,0.3,0.05,0.2993,0.3684,0.7895
0.1,0.45,0.05,0.4,0.2991,0.4211,0.6316
0.1,0.5,0.05,0.35,0.2991,0.4211,0.6316
0.1,0.4,0.05,0.45,0.2987,0.4211,0.6316
0.05,0.6,0.15,0.2,0.2983,0.4737,0.7895
0.2,0.65,0.1,0.05,0.2978,0.4211,0.6842
0.1,0.5,0.1,0.3,0.2977,0.4211,0.6842
0.1,0.6,0.15,0.15,0.2976,0.4737,0.7895
0.15,0.55,0.1,0.2,0.2976,0.4211,0.6842
0.1,0.55,0.1,0.25,0.2971,0.4211,0.7368
0.2,0.55,0.1,0.15,0.2971,0.4211,0.6842
0.2,0.6,0.1,0.1,0.2971,0.4211,0.6842
0.1,0.7,0.1,0.1,0.297,0.4737,0.7895
0.1,0.6,0.1,0.2,0.297,0.4211,0.7368
0.25,0.65,0.05,0.05,0.297,0.4211,0.6316
